run,loss_type,learning_rate,grpo_step,loss,grad_norm,token_entropy,train_answer_accuracy,train_format_accuracy
reinforce_with_baseline,reinforce_with_baseline,4e-05,192,5.148345917405095e-05,0.1259765625,0.01903533935546875,0.90234375,0.97265625
reinforce_with_baseline,reinforce_with_baseline,4e-05,193,0.0005856590196344769,0.1533203125,0.02893686294555664,0.828125,0.98828125
reinforce_with_baseline,reinforce_with_baseline,4e-05,194,0.0002119726800628996,0.181640625,0.02439117431640625,0.74609375,0.87890625
reinforce_with_baseline,reinforce_with_baseline,4e-05,195,-0.0006167966821521986,0.1533203125,0.025825977325439453,0.69140625,0.9140625
reinforce_with_baseline,reinforce_with_baseline,4e-05,196,0.000590571525208361,0.1298828125,0.027758359909057617,0.6328125,0.859375
reinforce_with_baseline,reinforce_with_baseline,4e-05,197,0.000324155813359539,0.1611328125,0.026080608367919922,0.77734375,0.91015625
reinforce_with_baseline,reinforce_with_baseline,4e-05,198,0.0001928529527503997,0.2470703125,0.02611064910888672,0.72265625,0.91796875
reinforce_with_baseline,reinforce_with_baseline,4e-05,199,0.000181798992343829,0.1259765625,0.02330160140991211,0.6640625,0.875
reinforce_with_baseline,reinforce_with_baseline,4e-05,200,-0.0005381013343139784,0.1357421875,0.023288726806640625,0.80859375,0.94140625
no_baseline,no_baseline,4e-05,1,0.010709066060371697,0.1015625,0.923675537109375,0.015625,0.1796875
no_baseline,no_baseline,4e-05,2,0.06666916811082046,0.82421875,0.4340362548828125,0.2421875,0.84765625
no_baseline,no_baseline,4e-05,3,0.08332779302145354,2.390625,0.37717437744140625,0.25,0.9140625
no_baseline,no_baseline,4e-05,4,0.05182756990689086,2.015625,0.4167518615722656,0.1875,0.96875
no_baseline,no_baseline,4e-05,5,0.04697546530223917,1.3828125,0.57415771484375,0.15625,0.94921875
no_baseline,no_baseline,4e-05,6,0.07654492108849809,0.9375,0.7617874145507812,0.1640625,0.8359375
